,Population,zip code,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000"
34,1033,98639,492.0,17.7,2.8,8.9,2.4,15.9,21.7,19.1,9.3,1.4,0.6
35,12359,98660,5341.0,10.7,8.7,11.8,8.9,13.9,17.4,11.2,10.5,4.3,2.6
36,13427,98663,5810.0,8.1,4.5,9.6,9.8,15.3,21.0,14.5,11.6,3.4,2.2
37,11776,98674,4093.0,3.1,2.6,8.3,9.3,11.8,26.0,12.6,15.8,6.3,4.3
38,7444,98815,2537.0,4.9,3.6,10.1,8.2,13.0,25.5,12.7,10.4,6.7,4.9
39,193,98819,116.0,15.5,7.8,25.9,4.3,17.2,12.9,10.3,6.0,0.0,0.0
40,2931,98831,1293.0,7.3,9.4,8.7,3.2,15.0,15.4,22.5,15.1,1.2,2.2
41,8538,98841,3439.0,7.7,8.1,15.8,9.4,12.6,17.7,10.2,13.0,4.7,0.9
42,231,98845,81.0,2.5,6.2,7.4,14.8,19.8,34.6,8.6,1.2,2.5,2.5
43,1344,98846,443.0,7.9,11.7,15.3,7.9,9.7,23.0,14.0,3.4,1.8,5.2
44,197,98859,125.0,40.0,17.6,0.0,12.8,14.4,4.0,11.2,0.0,0.0,0.0
45,32349,98901,9918.0,11.2,6.5,15.3,13.9,18.3,14.6,9.6,6.9,1.7,2.0
46,46300,98902,16322.0,8.9,7.4,14.6,13.4,17.2,20.4,10.0,5.7,0.9,1.5
47,35660,98908,14286.0,3.7,4.2,8.6,11.4,16.0,18.6,13.8,14.6,5.3,3.8
48,22554,98944,6181.0,5.6,7.7,15.5,13.5,16.6,18.2,10.5,6.7,3.4,2.2
49,13196,98948,3505.0,9.4,7.4,12.6,15.6,18.3,19.1,6.9,6.9,3.1,0.7
50,475,98950,103.0,0.0,0.0,6.8,0.0,7.8,36.9,17.5,31.1,0.0,0.0
51,2221,98952,539.0,9.6,8.0,9.5,8.3,21.9,15.6,8.9,15.2,1.3,1.7
52,23163,98248,8502.0,9.6,4.2,7.7,11.2,9.0,18.8,15.9,16.5,5.1,1.8
53,21018,98166,8372.0,4.6,4.0,6.6,8.8,13.1,17.2,13.4,12.9,9.8,9.5
54,4370,98237,1648.0,6.6,7.9,16.4,5.3,14.0,21.4,14.1,9.4,4.5,0.4
55,4259,98251,1812.0,7.6,4.2,7.7,7.3,12.0,15.8,19.3,19.7,3.2,3.1
56,9459,98252,3631.0,3.6,3.0,5.3,10.2,17.3,12.0,20.6,16.7,6.5,4.9
57,407,98256,195.0,13.8,5.6,10.3,10.3,4.6,25.1,17.4,9.2,2.6,1.0
58,25940,98284,9141.0,7.3,3.8,8.1,9.5,16.5,18.1,14.9,15.3,5.0,1.4
59,199,98286,87.0,1.1,11.5,10.3,8.0,10.3,9.2,11.5,13.8,10.3,13.8
60,180,98560,73.0,0.0,4.1,4.1,13.7,23.3,34.2,5.5,0.0,15.1,0.0
61,6126,98569,3011.0,5.6,11.5,11.3,18.9,18.0,15.9,6.8,9.4,2.0,0.6
62,768,98572,289.0,7.3,11.1,7.6,8.3,10.0,30.1,7.3,13.1,5.2,0.0
63,142,98575,73.0,13.7,0.0,8.2,12.3,12.3,19.2,15.1,12.3,2.7,4.1
64,13894,98579,4678.0,2.0,4.3,8.6,7.2,14.8,25.0,13.8,17.9,3.6,2.8
65,9015,98606,3060.0,3.6,2.3,4.4,3.3,10.9,22.3,16.4,18.0,10.0,8.7
66,10174,98611,3878.0,3.6,2.4,11.6,9.4,12.5,22.5,16.5,16.4,3.5,1.6
67,1728,98624,718.0,3.1,9.9,15.6,14.3,14.6,23.7,4.2,13.0,1.1,0.6
68,48512,98632,19585.0,9.8,6.2,15.5,11.4,14.6,17.2,10.5,9.8,3.1,1.9
69,3942,98640,1877.0,10.6,8.4,25.0,7.6,20.2,12.6,7.2,7.9,0.0,0.5
70,33652,98683,13351.0,3.7,3.6,7.4,10.1,15.8,19.3,14.0,16.4,5.2,4.5
